,Attrition
42,Yes
189,No
796,Yes
901,No
1405,No
659,No
998,No
341,No
1370,No
599,No
1290,Yes
131,No
412,No
580,No
1449,No
340,No
724,No
1294,No
882,No
101,No
414,Yes
813,Yes
290,No
304,No
329,No
231,No
223,No
700,Yes
1262,Yes
559,No
1442,Yes
1257,Yes
745,No
581,No
71,No
1450,No
867,No
929,No
1357,No
1113,No
1343,No
109,No
1426,No
240,No
816,No
1414,No
727,No
1029,No
80,No
1324,No
1051,No
1436,No
1232,No
423,No
1107,No
639,No
431,No
950,No
80,No
42,Yes
632,No
1445,No
23,No
1113,No
440,Yes
635,No
345,No
1389,No
205,Yes
182,Yes
357,Yes
65,No
1147,No
358,No
107,Yes
216,Yes
733,No
15,No
785,No
1375,Yes
1015,No
1288,No
329,No
1186,Yes
722,No
150,No
1123,No
702,No
1238,No
193,No
700,Yes
1106,Yes
364,No
1281,Yes
1025,No
200,No
1123,No
825,No
566,Yes
667,Yes
207,No
1079,No
1192,No
1160,No
150,No
819,No
640,No
1290,Yes
623,No
1280,No
1065,No
1454,No
480,Yes
1136,Yes
706,Yes
45,Yes
581,No
1469,No
1257,Yes
942,No
298,No
1445,No
42,Yes
537,No
1452,Yes
481,No
290,No
220,No
329,No
248,No
1121,No
1269,No
1450,No
901,No
1001,No
1453,No
634,No
557,No
512,No
575,No
22,No
419,No
146,No
1419,No
1281,Yes
1270,No
378,Yes
1126,No
1428,No
745,No
1156,No
676,No
1028,No
473,No
1357,No
390,No
375,No
1336,No
124,Yes
1353,Yes
1195,No
333,No
1257,Yes
378,Yes
1266,No
345,No
624,No
1366,No
1073,No
1144,No
981,Yes
1314,No
1052,No
1147,No
470,No
1242,No
65,No
1429,No
232,No
648,No
441,No
1357,No
254,No
417,No
288,Yes
1110,Yes
1123,No
773,No
818,No
505,No
290,No
273,No
603,No
14,Yes
176,No
159,No
717,No
263,No
1107,No
380,No
717,No
366,Yes
1459,No
485,No
214,Yes
1355,No
1354,Yes
1110,Yes
65,No
505,No
1106,Yes
379,No
169,No
1349,No
45,Yes
1030,No
1123,No
1043,No
1096,No
396,No
1157,No
290,No
1251,No
56,No
714,No
722,No
839,No
1228,No
1427,No
1350,No
532,No
245,No
305,No
1132,No
1390,Yes
510,No
1123,No
409,No
284,No
1281,Yes
260,No
1370,No
207,No
658,No
948,No
1123,No
412,No
459,No
328,No
844,No
616,No
57,No
59,No
1463,No
1123,No
448,No
511,No
84,No
581,No
1442,Yes
1417,No
506,No
624,No
609,No
557,No
1099,No
298,No
759,No
1160,No
722,No
1096,No
189,No
592,No
793,No
1070,No
60,No
611,No
174,No
185,No
124,Yes
304,No
1150,No
1449,No
738,No
1183,No
639,No
873,No
364,No
1186,Yes
387,No
796,Yes
1262,Yes
165,No
1354,Yes
205,Yes
502,No
329,No
903,No
1348,No
1153,Yes
732,Yes
7,No
185,No
932,Yes
1146,No
1428,No
1063,No
1032,Yes
1092,No
193,No
544,No
821,No
505,No
1046,No
609,No
1352,No
1323,No
377,No
208,No
622,No
1258,No
979,No
510,No
724,No
475,No
631,No
1449,No
80,No
259,Yes
530,No
1084,No
632,No
7,No
920,No
325,No
556,No
581,No
349,No
257,No
913,Yes
1139,No
60,No
1144,No
137,No
639,No
932,Yes
1073,No
888,No
846,No
793,No
570,No
754,No
631,No
380,No
1063,No
777,Yes
463,Yes
1426,No
1426,No
641,No
575,No
627,No
123,No
770,No
1015,No
75,No
710,No
836,Yes
1183,No
1388,No
566,Yes
821,No
856,No
329,No
652,No
330,No
880,No
538,No
1005,No
974,No
1035,No
323,Yes
1461,Yes
329,No
1353,Yes
367,No
831,Yes
448,No
304,No
341,No
1242,No
1028,No
617,No
911,Yes
1401,No
920,No
1391,No
11,No
210,Yes
1160,No
825,No
1459,No
884,No
401,No
1124,No
950,No
216,Yes
556,No
689,Yes
699,No
495,Yes
948,No
365,No
1156,No
793,No
780,Yes
8,No
1214,No
240,No
1445,No
1269,No
263,No
939,Yes
337,No
714,No
654,No
325,No
1254,No
1220,No
1374,No
538,No
566,Yes
117,No
559,No
1041,No
1259,No
1178,No
203,No
867,No
609,No
950,No
